副驾ECU加热开启,12D 00 00 00 00 0C 00 00 00,4C1 20 00 14 00 00 00 00 00,4C1 21 00 50 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
副驾ECU通风开启,12D 00 00 00 00 0C 00 00 00,4C1 20 00 05 00 00 00 00 00,4C1 21 00 05 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
副驾按摩开启,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 70 00 00 00 00,4C1 12 18 00 20 00 00 00 00,300 01 03 00 30 00 02 C4 04
副驾ECU加热关闭,12D 00 00 00 00 0C 00 00 00,4C1 20 00 20 00 00 00 00 00,4C1 21 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
副驾ECU通风关闭,12D 00 00 00 00 0C 00 00 00,4C1 20 00 02 00 00 00 00 00,4C1 21 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
副驾按摩关闭,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 10 00 00 00 00,4C1 12 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
主驾ECU加热开启,12D 00 00 00 00 0C 00 00 00,4C1 20 14 00 00 00 00 00 00,4C1 21 50 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
主驾ECU通风开启,12D 00 00 00 00 0C 00 00 00,4C1 20 05 00 00 00 00 00 00,4C1 21 05 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
主驾按摩开启,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 07 00 00 00 00,4C1 12 03 00 02 00 00 00 00,300 01 03 00 30 00 02 C4 04
主驾ECU加热关闭,12D 00 00 00 00 0C 00 00 00,4C1 20 20 00 00 00 00 00 00,4C1 21 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
主驾ECU通风关闭,12D 00 00 00 00 0C 00 00 00,4C1 20 02 00 00 00 00 00 00,4C1 21 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
主驾按摩关闭,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 01 00 00 00 00,4C1 12 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
二排左ECU加热开启,12D 00 00 00 00 0C 00 00 00,4C1 20 00 00 14 00 00 00 00,4C1 21 00 00 50 00 00 00 00,300 01 03 00 30 00 02 C4 04
二排左ECU通风开启,12D 00 00 00 00 0C 00 00 00,4C1 20 00 00 05 00 00 00 00,4C1 21 00 00 05 00 00 00 00,300 01 03 00 30 00 02 C4 04
二排左按摩开启,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 06 00 00 00,4C1 12 00 0C 00 07 00 00 00,300 01 03 00 30 00 02 C4 04
二排左ECU加热关闭,12D 00 00 00 00 0C 00 00 00,4C1 20 00 00 20 00 00 00 00,4C1 21 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
二排左ECU通风关闭,12D 00 00 00 00 0C 00 00 00,4C1 20 00 00 02 00 00 00 00,4C1 21 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
二排左按摩关闭,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 01 00 00 00,4C1 12 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
二排左无线充开启,12D 00 00 00 00 0C 00 00 00,4E8 00 01 00 00 00 00 00 00,4E9 00 01 00 00 00 00 00 00,
二排左无线充关闭,12D 00 00 00 00 0C 00 00 00,4E8 00 02 00 00 00 00 00 00,4E9 00 02 00 00 00 00 00 00,
二排右ECU加热开启,12D 00 00 00 00 0C 00 00 00,4C1 20 00 00 00 12 00 00 00,4C1 21 00 00 00 50 00 00 00,300 01 03 00 30 00 02 C4 04
二排右ECU通风开启,12D 00 00 00 00 0C 00 00 00,4C1 20 00 00 00 05 00 00 00,4C1 21 00 00 00 05 00 00 00,300 01 03 00 30 00 02 C4 04
二排右按摩开启,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 70 00 00 00,4C1 12 00 60 00 20 00 00 00,300 01 03 00 30 00 02 C4 04
二排右ECU加热关闭,12D 00 00 00 00 0C 00 00 00,4C1 20 00 00 00 20 00 00 00,4C1 21 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
二排右ECU通风关闭,12D 00 00 00 00 0C 00 00 00,4C1 20 00 00 00 02 00 00 00,4C1 21 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
二排右按摩关闭,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 10 00 00 00,4C1 12 00 00 00 00 00 00 00,300 01 03 00 30 00 02 C4 04
二排右无线充开启,12D 00 00 00 00 0C 00 00 00,4E8 00 01 00 00 00 00 00 00,4E9 00 01 00 00 00 00 00 00,
二排右无线充关闭,12D 00 00 00 00 0C 00 00 00,4E8 00 02 00 00 00 00 00 00,4E9 00 02 00 00 00 00 00 00,
脚灯,03 FF FF FF 20 E4 00 00 00,,,
二排左腰托向上开启,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 00 01 00 00,,
二排左腰托向下开启,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 00 02 00 00,,
二排左腰托向前开启,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 00 03 00 00,,
二排左腰托向后开启,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 00 04 00 00,,
二排左腰托向上关闭,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 00 00 00 00,,
二排左腰托向下关闭,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 00 00 00 00,,
二排左腰托向前关闭,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 00 00 00 00,,
二排左腰托向后关闭,12D 00 00 00 00 0C 00 00 00,4C1 12 00 00 00 00 00 00 00,,
诊断会话默认模式,02 10 03 55 55 55 55 55,06 50 03 00 32 01 F4 AA,,
保持诊断在线,02 3E 00 55 55 55 55 55,,,
Security Access 03 to SCU,02 27 01 55 55 55 55 55,,,
Security Access 04 to SCU,04 27 02 AA AA AA AA AA,,,
主驾通风三档,05 2F 34 1F 03 03 55 55,,,
主驾加热三档,05 2F 34 1E 03 03 55 55,,,
副驾通风三档,05 2F 34 1D 03 03 55 55,,,
副驾加热三档,05 2F 34 1C 03 03 55 55,,,
二排左通风三档,05 2F 34 1B 03 03 55 55,,,
二排左加热三档,05 2F 34 1A 03 03 55 55,,,
二排右通风三档,05 2F 34 19 03 03 55 55,,,
二排右加热三档,05 2F 34 18 03 03 55 55,,,
,,,,
主驾ECU靠背向前,05 2F 35 43 00 03 55 55,,,
主驾ECU靠背向后,05 2F 35 43 01 03 55 55,,,
副驾ECU靠背向前,05 2F 39 E6 00 03 55 55,,,
副驾ECU靠背向后,05 2F 39 E6 01 03 55 55,,,
二排左ECU靠背向前,05 2F 34 22 00 03 55 55,,,
二排左ECU靠背向后,05 2F 34 22 01 03 55 55,,,
二排右ECU靠背向前,05 2F 34 25 00 03 55 55,,,
二排右ECU靠背向后,05 2F 34 25 01 03 55 55,,,
,,,,
主驾ECU滑轨向前,05 2F 35 40 00 03 55 55,,,
主驾ECU滑轨向后,05 2F 35 40 01 03 55 55,,,
副驾ECU滑轨向前,05 2F 39 E3 00 03 55 55,,,
副驾ECU滑轨向后,05 2F 39 E3 01 03 55 55,,,
二排左ECU滑轨向前,05 2F 34 20 00 03 55 55,,,
二排左ECU滑轨向后,05 2F 34 20 01 03 55 55,,,
二排右ECU滑轨向前,05 2F 34 23 00 03 55 55,,,
二排右ECU滑轨向后,05 2F 34 23 01 03 55 55,,,
,,,,
主驾ECU抬高向上,05 2F 35 41 00 03 55 55,,,
主驾ECU抬高向下,05 2F 35 41 01 03 55 55,,,
副驾ECU抬高向上,05 2F 39 E4 00 03 55 55,,,
副驾ECU抬高向下,05 2F 39 E4 01 03 55 55,,,
二排左ECU抬高向上,05 2F 34 18 00 03 55 55,,,
二排左ECU抬高向下,05 2F 34 18 01 03 55 55,,,
二排右ECU抬高向上,05 2F 34 18 00 03 55 55,,,
二排右ECU抬高向下,05 2F 34 18 01 03 55 55,,,
,,,,
主驾ECU腿托向上,05 2F 39 D6 00 03 55 55,,,
主驾ECU腿托向下,05 2F 39 D6 01 03 55 55,,,
副驾ECU腿托向上,05 2F 39 E7 00 03 55 55,,,
副驾ECU腿托向下,05 2F 39 E7 01 03 55 55,,,
二排左ECU腿托向上,05 2F 34 21 00 03 55 55,,,
二排左ECU腿托向下,05 2F 34 21 01 03 55 55,,,
二排右ECU腿托向上,05 2F 34 24 00 03 55 55,,,
二排右ECU腿托向下,05 2F 34 24 01 03 55 55,,,
,,,,
主驾ECU腿托伸出,05 2F 34 18 00 03 55 55,,,
主驾ECU腿托缩回,05 2F 34 18 01 03 55 55,,,
副驾ECU腿托伸出,05 2F 57 F1 00 03 55 55,,,
副驾ECU腿托缩回,05 2F 57 F1 01 03 55 55,,,
二排左ECU腿托伸出,05 2F 57 D8 00 03 55 55,,,
二排左ECU腿托缩回,05 2F 57 D8 01 03 55 55,,,
二排右ECU腿托伸出,05 2F 57 DE 00 03 55 55,,,
二排右ECU腿托缩回,05 2F 57 DE 01 03 55 55,,,
